building_id,building_code,building_block,building_coord_x,building_coord_y,demand_kwh,max_pv_gen_kwh,max_pv_size_kw,existing_pv_size_kw,pv_possible,minergie
B11515632,11515632,Z0885,680777,246316,978.6373,7071.454,7,0,1,0
B11516115,11516115,Z1882,680535,246483,821.0545,10279.7441,10,0,1,0
B11516118,11516118,Z1658,680810,245817,917.8868,6924.2277,7,0,1,0
B11516119,11516119,Z0080,682011,247127,13749.9947,37221.8144,39,0,1,0
B11518999,11518999,Z0132,682325,247535,123898.0009,45393.5489,48,0,1,0
B11526435,11526435,Z1412,682454,246657,25443.412,23099.94,26,0,1,0
B140995,140995,Z1322,682442.3,247054.53,38281.45,42955.56,45,0,1,0
B143513,143513,Z0141,682413,246812,35915.084,58448.02,62,0,1,0
B143514,143514,Z1843,682397,246677,3101.6582,14566.3494,15,0,1,0
B143515,143515,Z1844,682384,246704,2886.935,13449.1022,14,0,1,0
B143521,143521,Z1261,682409,246661,5643.067,22171.47,23,0,1,0
B143522,143522,Z1843,682393,246683,2886.6918,14710.5706,15,0,1,0
B143523,143523,Z1844,682387,246697,2917.647,13592.1778,14,0,1,0
B143524,143524,Z1263,682378,246716,3182.1597,15663.3803,16,0,1,0
B143526,143526,Z1370,682373,246819,1046.831,9382.17,10,0,1,0
B143527,143527,Z1333,682359,246758,4594.311,33245.17,35,0,1,0
B143528,143528,Z1379,682417,246864,14418.924,41979.61,44,0,1,0
B143535,143535,Z1365,682435,246964,28796.201,39207.29,41,0,1,0
B143539,143539,Z1411,682465,246665,12531.1935,12822.8755,14,0,1,0
B143541,143541,Z0589,682240,246699,28549.6998,130150.232,138,0,1,0
B143542,143542,Z1378,682284,246790,6349.3189,23733.9266,25,0,1,0
B143543,143543,Z1366,682279,246775,3775.748,19669.97,21,0,1,0
B143544,143544,Z1380,682272,246761,14321.433,14631.74,16,0,1,0
B143545,143545,Z0589,682262,246747,3683.3071,32492.6786,34,0,1,0
B143546,143546,Z1300,682020,246444,8403.0755,30888.1319,33,0,1,0
B143547,143547,Z1300,682001,246443,8076.7424,29688.5928,31,0,1,0
B143548,143548,Z1300,681982,246442,8117.5341,29838.5352,32,0,1,0
B143549,143549,Z0140,682324,246562,3651.3923,20468.948,22,0,1,0
B143550,143550,Z1378,682290,246805,4255.9801,19665.2534,20,0,1,0
B143551,143551,Z0140,682196,246586,3191.5874,17891.3768,19,0,1,0
B143552,143552,Z0201,682074,246491,5321.9921,28108.7192,31,0,1,0
B143553,143553,Z0202,682064,246567,347954.368,309090.73,339,0,1,0
B143554,143554,Z1301,682013,246358,6732.5783,35377.3497,38,0,1,0
B143555,143555,Z1301,681994,246358,6250.5127,35033.8803,37,0,1,0
B143556,143556,Z1304,681969,246361,7259.742,29575.4,31,0,1,0
B143557,143557,Z1305,681998,246388,6567.8346,30742.544,32,0,1,0
B143558,143558,Z1305,681979,246389,6126.7114,30589.596,32,0,1,0
B143559,143559,Z1299,681976,246414,6263.029,30401.32,32,0,1,0
B143560,143560,Z1303,682014,246413,5785.599,26805.8616,28,0,1,0
B143561,143561,Z1303,681999,246414,5589.477,25897.1884,27,0,1,0
B143562,143562,Z1456,682062,246395,9274.364,73236.58,79,0,1,0
B143563,143563,Z0583,682149,246446,5380.439,31600.51,33,0,1,0
B143564,143564,Z0587,682123,246443,4946.5963,32270.7427,34,0,1,0
B143565,143565,Z0587,682107,246436,6815.8547,26679.2773,28,0,1,0
B143566,143566,Z0585,682143,246474,6536.125,31254.94,33,0,1,0
B143567,143567,Z0586,682113,246467,6932.0963,32563.6059,34,0,1,0
B143568,143568,Z0586,682095,246460,8400.0697,33540.5141,35,0,1,0
B143569,143569,Z0580,682289,246479,9414.0731,36273.4709,38,0,1,0
B143570,143570,Z0579,682202,246485,9262.882,35391.47,39,0,1,0
B143571,143571,Z0578,682179,246481,6677.8674,31068.7349,34,0,1,0
B143572,143572,Z0578,682180,246463,5820.1596,27078.2551,29,0,1,0
B143573,143573,Z1928,682205,246447,10040.105,31798.3,35,0,1,0
B143574,143574,Z0575,682183,246426,6208.9905,27384.8285,30,0,1,0
B143575,143575,Z0575,682184,246408,6208.9905,32285.2715,36,0,1,0
B143576,143576,Z0577,682220,246420,7207.957,33602.9,38,0,1,0
B143577,143577,Z0580,682281,246463,10057.481,38752.593,41,0,1,0
B143578,143578,Z0124,682252,246409,11783.3582,36709.277,39,0,1,0
B143579,143579,Z0124,682243,246394,11783.3582,36709.277,39,0,1,0
B143580,143580,Z0124,682234,246378,11783.3582,36709.277,39,0,1,0
B143581,143581,Z0124,682225,246363,12254.6925,36709.277,39,0,1,0
B143582,143582,Z0124,682216,246348,11834.1485,36867.5066,39,0,1,0
B143583,143583,Z0124,682200,246319,7997.4464,37183.9659,39,0,1,0
B143584,143584,Z0576,682208,246392,7204.685,30763.55,35,0,1,0
B143585,143585,Z0574,682186,246372,8130.0287,24180.2708,30,0,1,0
B143586,143586,Z0574,682188,246354,8862.5463,27743.6792,34,0,1,0
B143587,143587,Z0124,682193,246306,14505.7202,40348.5587,43,0,1,0
B143588,143588,Z0584,682126,246416,6339.3285,32166.22,34,0,1,0
B143589,143589,Z0584,682145,246419,6339.3285,32166.22,34,0,1,0
B143590,143590,Z1292,682157,246365,3378.987,21994.02,26,0,1,0
B143591,143591,Z1296,682158,246341,6038.5558,27946.2641,32,0,1,0
B143593,143593,Z1298,682136,246336,3825.1311,18422.8575,22,0,1,0
B143594,143594,Z1251,682130,246254,1819.939,36773.79,46,0,1,0
B143595,143595,Z0573,682129,246218,9571.78,26058.662,27,0,1,0
B143596,143596,Z0573,682159,246256,11924.288,28148.929,30,0,1,0
B143597,143597,Z0573,682151,246241,8957.5481,24386.4484,25,0,1,0
B143598,143598,Z0573,682140,246229,8169.2839,18533.7007,19,0,1,0
B143838,143838,Z1266,682405,246381,4026.634,22179.91,23,0,1,0
B143839,143839,Z1281,682400,246412,25277.2605,76788.7648,84,0,1,0
B143840,143840,Z1293,682448,246382,3673.1877,18396.6706,19,0,1,0
B143846,143846,Z1457,682435,246474,21677.036,156311.98,173,0,1,0
B143847,143847,Z1274,682326,246445,230939.075,86666.79,92,0,1,0
B143848,143848,Z0582,682295,246385,5454.99,25482.3,27,0,1,0
B143849,143849,Z0581,682258,246325,36617.837,182553.0492,194,0,1,0
B143850,143850,Z0572,682207,246269,5947.0782,16327.7468,17,0,1,0
B143851,143851,Z0572,682202,246260,2699.035,11767.7455,12,0,1,0
B143852,143852,Z0571,682200,246245,10506.475,40723.2021,43,0,1,0
B143853,143853,Z0571,682194,246233,10603.568,40089.3779,42,0,1,0
B143855,143855,Z1461,682196,246206,17899.333,44784.7054,50,0,1,0
B143856,143856,Z1276,682338,246422,9465.159,36162.8,39,0,1,0
B143857,143857,Z1265,682352,246401,12951.5176,67015.3139,72,0,1,0
B143858,143858,Z1265,682366,246393,6343.4551,37195.8534,39,0,1,0
B143859,143859,Z1265,682369,246368,22116.0953,85691.7128,92,0,1,0
B143860,143860,Z1272,682327,246272,2434.003,18941.79,20,0,1,0
B143861,143861,Z0592,682348,246268,7559.869,37843.13,40,0,1,0
B143869,143869,Z1259,682426,246252,6341.719,36550.33,39,0,1,0
B143871,143871,Z1458,682428,246175,30736.9274,18395.8709,20,0,1,0
B143872,143872,Z1262,682402,246270,3249.821,21974.99,23,0,1,0
B143873,143873,Z1282,682402,246241,5399.93,28176,29,0,1,0
B143874,143874,Z1283,682401,246219,6993.748,29537.92,30,0,1,0
B143875,143875,Z1280,682402,246195,11272.717,45934.08,48,0,1,0
B143876,143876,Z1257,682404,246169,7246.617,31242.3,33,0,1,0
B143878,143878,Z1464,682429,246145,6378.697,31455.86,34,0,1,0
B143883,143883,Z1461,682197,246182,14507.4503,43557.7272,48,0,1,0
B143884,143884,Z1461,682199,246163,6947.2297,26073.2874,29,0,1,0
B143885,143885,Z1501,682201,246142,8400.5595,28989.6661,31,0,1,0
B143886,143886,Z1505,682202,246117,8651.7679,27828.276,30,0,1,0
B143887,143887,Z1497,682274,246143,5665.713,25926.23,27,0,1,0
B143888,143888,Z1500,682259,246108,9595.42,35844.85,38,0,1,0
B143889,143889,Z1492,682225,246140,7969.605,29220.93,31,0,1,0
B143890,143890,Z1487,682229,246110,9188.7392,32458.0552,34,0,1,0
B143891,143891,Z1505,682205,246099,12340.6491,34930.284,38,0,1,0
B143892,143892,Z1516,682366,246086,8602.487,39085.73,41,0,1,0
B143893,143893,Z1494,682348,246116,5209.249,28922.73,30,0,1,0
B143894,143894,Z1286,682368,246056,9560.87,40795.34,44,0,1,0
B143895,143895,Z0568,682348,246038,7053.163,40098.68,42,0,1,0
B143896,143896,Z1475,682311,246108,9101.604,38620.69,41,0,1,0
B143897,143897,Z1514,682279,246116,4678.249,25074.41,29,0,1,0
B143898,143898,Z1485,682322,246078,9773.736,45107.24,47,0,1,0
B143899,143899,Z1250,682371,246163,9115.629,31298.98,33,0,1,0
B143900,143900,Z1252,682371,246139,5778.493,33203.1,36,0,1,0
B143901,143901,Z1473,682370,246118,5859.333,25978.48,27,0,1,0
B143902,143902,Z0594,682318,246130,4936.546,20499.83,21,0,1,0
B143903,143903,Z1518,682348,246140,5186.56,20259.21,21,0,1,0
B143904,143904,Z0569,682296,246140,9566.009,38700,41,0,1,0
B143905,143905,Z0593,682348,246162,6480.619,25199.17,27,0,1,0
B143906,143906,Z1264,682318,246154,15121.421,19608.68,20,0,1,0
B143907,143907,Z1297,682325,246023,11494.394,36322.75,39,0,1,0
B143908,143908,Z1267,682371,245986,5746.88,27153.24,29,0,1,0
B143909,143909,Z1244,682358,246009,6837.547,32273.21,35,0,1,0
B143910,143910,Z1448,682240,246042,15032.3454,42255.575,45,0,1,0
B143911,143911,Z1253,682276,246022,4651.8633,21563.6114,24,0,1,0
B143912,143912,Z0003,682248,246019,7432.6569,20837.7197,22,0,1,0
B143913,143913,Z1510,682299,246035,7460.0799,31213.9898,33,0,1,0
B143914,143914,Z1510,682293,246048,7215.4871,30190.5802,32,0,1,0
B143915,143915,Z1483,682288,246072,7863.989,33144.82,38,0,1,0
B143916,143916,Z1512,682267,246067,15580.658,45927.45,49,0,1,0
B143917,143917,Z1448,682232,246058,10021.5636,42255.575,45,0,1,0
B143918,143918,Z1449,682210,246056,4985.7762,19401.0435,20,0,1,0
B143919,143919,Z1449,682212,246039,7870.8788,32283.3365,34,0,1,0
B143920,143920,Z1472,682219,246014,5752.825,27726.01,32,0,1,0
B143921,143921,Z0003,682219,245988,7145.1385,22535.608,23,0,1,0
B143922,143922,Z0003,682220,245977,5236.5056,16515.8223,17,0,1,0
B143923,143923,Z0003,682222,245967,5236.5056,16515.8223,17,0,1,0
B143924,143924,Z0003,682223,245956,7340.8957,23153.0219,24,0,1,0
B143925,143925,Z0003,682251,246005,10179.3754,29635.868,31,0,1,0
B143926,143926,Z0003,682251,245987,17164.4415,57110.7874,60,0,1,0
B143928,143928,Z0003,682253,245958,4893.9305,15435.3479,16,0,1,0
B143929,143929,Z0003,682243,245957,6268.3093,16361.4688,17,0,1,0
B143930,143930,Z0003,682234,245955,4844.9912,15280.9945,16,0,1,0
B143931,143931,Z0153,682231,245929,12227.12,33811.4646,35,0,1,0
B143932,143932,Z0003,682261,245967,17444.823,45534.2764,48,0,1,0
B143933,143933,Z0154,682263,245935,16178.0094,51846.3255,55,0,1,0
B143934,143934,Z0154,682273,245917,9668.3156,33050.0745,35,0,1,0
B143935,143935,Z0595,682349,245947,3688.053,20497.1,22,0,1,0
B143936,143936,Z1318,682314,245912,5151.2562,19182.87,20,0,1,0
B143937,143937,Z0596,682285,245996,4836.4331,33943.2824,38,0,1,0
B143938,143938,Z0570,682304,245981,3091.072,17357.74,19,0,1,0
B143939,143939,Z1248,682333,245985,8249.559,35279.67,38,0,1,0
B143940,143940,Z0567,682315,245963,2210.2029,16901.6936,18,0,1,0
B143941,143941,Z0567,682321,245954,2189.7381,16745.1964,18,0,1,0
B143942,143942,Z1275,682347,245966,2236.391,13131.15,14,0,1,0
B143943,143943,Z1574,682332,245930,11392.835,40837.97,43,0,1,0
B143944,143944,Z0150,682288,245971,5140.6166,18331.075,19,0,1,0
B143945,143945,Z0150,682291,245960,4715.4844,18331.075,19,0,1,0
B143946,143946,Z0149,682298,245943,3859.2186,19025.3409,20,0,1,0
B143947,143947,Z0149,682300,245931,3826.5134,18864.1091,20,0,1,0
B143948,143948,Z1318,682304,245906,5282.0818,20705.32,22,0,1,0
B143949,143949,Z0153,682233,245911,14855.3795,41079.3496,43,0,1,0
B143950,143950,Z0153,682235,245892,13655.5219,37761.4021,40,0,1,0
B143951,143951,Z0152,682237,245842,6586.0157,20391.6936,21,0,1,0
B143952,143952,Z1315,682258,245833,4309.0227,25737.1274,28,0,1,0
B143953,143953,Z0151,682289,245867,11786.7268,31510.546,32,0,1,0
B143954,143954,Z0153,682252,245879,8366.3538,32389.4872,34,0,1,0
B143955,143955,Z0152,682266,245860,3818.4228,19310.316,20,0,1,0
B143956,143956,Z0153,682238,245874,9335.6265,28913.5422,30,0,1,0
B143957,143957,Z0152,682254,245853,3757.3281,19001.3509,20,0,1,0
B143959,143959,Z1288,682382,245940,4327.934,23212.16,25,0,1,0
B143960,143960,Z0161,682322,245893,2399.6375,14236.3697,16,0,1,0
B143961,143961,Z1343,682346,245894,7110.754,33975.41,36,0,1,0
B143962,143962,Z0151,682289,245847,12047.1336,39744.4575,41,0,1,0
B143963,143963,Z0151,682287,245827,9776.999,38477.7019,40,0,1,0
B143964,143964,Z1346,682325,245853,7327.237,36340.62,40,0,1,0
B143965,143965,Z0151,682287,245807,5519.603,24385.0456,25,0,1,0
B143966,143966,Z1336,682329,245819,7322.905,37003.49,41,0,1,0
B143967,143967,Z0151,682289,245786,15231.245,53678.7693,56,0,1,0
B143969,143969,Z0151,682281,245762,10982.0187,44811.48,46,0,1,0
B143971,143971,Z0151,682260,245757,11068.821,44811.48,46,0,1,0
B143977,143977,Z0152,682237,245829,6227.5931,21473.0713,22,0,1,0
B143978,143978,Z0152,682238,245818,5139.088,15911.7003,16,0,1,0
B143979,143979,Z0152,682238,245807,7134.8503,22091.0014,23,0,1,0
B143980,143980,Z0151,682240,245785,7328.1538,29135.3792,30,0,1,0
B143981,143981,Z0151,682238,245770,6412.1346,25493.4568,26,0,1,0
B143982,143982,Z0151,682240,245755,7009.5384,27868.6236,29,0,1,0
B144163,144163,Z1509,682166,246201,4567.2997,17364.6795,19,0,1,0
B144164,144164,Z1476,682169,246162,6576.8846,24945.0567,26,0,1,0
B144165,144165,Z1502,682157,246137,7336.416,30071.45,33,0,1,0
B144166,144166,Z1479,682174,246119,8655.462,32506.31,37,0,1,0
B144167,144167,Z1511,682178,246097,4293.7518,16729.4307,18,0,1,0
B144168,144168,Z1509,682163,246212,6331.0113,20930.6405,23,0,1,0
B144169,144169,Z1515,682149,246190,4029.8103,12866.7107,13,0,1,0
B144170,144170,Z1504,682150,246180,1302.435,8583.84,9,0,1,0
B144171,144171,Z1496,682151,246158,26611.828,27280.94,30,0,1,0
B144172,144172,Z1495,682132,246175,5371.316,24814.63,26,0,1,0
B144173,144173,Z1447,682096,246130,35841.4924,112395.1261,153,0,1,0
B144174,144174,Z1447,682064,246098,470532.4748,208821.5457,285,0,1,0
B144175,144175,Z1511,682171,246088,11171.7062,31028.0893,35,0,1,0
B144177,144177,Z1459,682132,246114,16905.2528,49318.3931,55,0,1,0
B144179,144179,Z1477,682188,246021,6531.478,23458.68,27,0,1,0
B144180,144180,Z1471,682159,246018,10861.5424,32222.6899,34,0,1,0
B144181,144181,Z1498,682177,246065,7763.424,29327.66,32,0,1,0
B144182,144182,Z1469,682153,246061,1915.719,12902.45,14,0,1,0
B144183,144183,Z1482,682077,246047,10475.133,59145.67,65,0,1,0
B144184,144184,Z1508,682083,245990,10692.3952,46211.175,51,0,1,0
B144185,144185,Z1478,682137,246058,2299.595,16793.12,18,0,1,0
B144186,144186,Z1484,682111,246054,2372.3935,16993.195,18,0,1,0
B144187,144187,Z1471,682141,246034,8068.2251,25317.8278,27,0,1,0
B144188,144188,Z1484,682113,246042,2372.3935,16993.195,18,0,1,0
B144189,144189,Z1503,682109,246022,5671.453,26323.16,28,0,1,0
B144190,144190,Z1471,682143,246019,7013.8548,22009.248,23,0,1,0
B144191,144191,Z1466,682113,245991,7081.1263,39229.6387,42,0,1,0
B144192,144192,Z1549,682199,245947,7156.4546,21458.1799,24,0,1,0
B144193,144193,Z1549,682187,245944,4871.0457,15579.2265,17,0,1,0
B144194,144194,Z1939,682165,245942,7705.432,25062.66,27,0,1,0
B144195,144195,Z1489,682150,245985,11605.7951,38424.8515,42,0,1,0
B144196,144196,Z1488,682119,245961,9070.211,45823.24,49,0,1,0
B144197,144197,Z1493,682123,245939,7358.027,29259.8,31,0,1,0
B144198,144198,Z1939,682152,245944,8814.362,27449.58,29,0,1,0
B144199,144199,Z1490,682194,245996,5019.998,24368.37,28,0,1,0
B144200,144200,Z1480,682173,245995,7262.739,28577.56,33,0,1,0
B144201,144201,Z1481,682191,245973,10011.7866,33231.3985,39,0,1,0
B144202,144202,Z1549,682199,245958,3063.5508,14697.3835,16,0,1,0
B144203,144203,Z1489,682152,245968,7870.2689,23885.7185,26,0,1,0
B144204,144204,Z0155,682186,245920,6272.5679,26338.9358,28,0,1,0
B144205,144205,Z1551,682160,245890,9872.8036,36871.5678,40,0,1,0
B144206,144206,Z0158,682172,245842,12632.229,38565.71,41,0,1,0
B144207,144207,Z0156,682160,245917,7794.984,32381.9,36,0,1,0
B144208,144208,Z0155,682200,245919,8852.8743,32175.4045,34,0,1,0
B144209,144209,Z0155,682202,245902,6305.1527,25740.3236,27,0,1,0
B144210,144210,Z0155,682204,245884,8048.4378,31127.8332,33,0,1,0
B144211,144211,Z0155,682191,245879,6415.1263,26189.2828,28,0,1,0
B144212,144212,Z0157,682204,245855,11798.923,39471.08,42,0,1,0
B144213,144213,Z1491,682088,245962,5402.1,34006.82,36,0,1,0
B144214,144214,Z0159,682104,245884,8787.2029,40020.0816,41,0,1,0
B144215,144215,Z1688,682104,245853,5682.132,28760.5204,31,0,1,0
B144216,144216,Z1688,682108,245834,5590.4847,28296.6411,30,0,1,0
B144217,144217,Z1463,682100,245909,10367.194,38537.96,41,0,1,0
B144218,144218,Z1507,682102,245937,4539.5085,20225.3588,21,0,1,0
B144219,144219,Z1507,682093,245936,4110.5785,18314.3012,19,0,1,0
B144220,144220,Z0160,682128,245910,7806.882,30416.29,32,0,1,0
B144221,144221,Z1550,682132,245884,10919.468,36029.63,39,0,1,0
B144222,144222,Z1688,682137,245851,9256.3764,46851.8155,50,0,1,0
B144223,144223,Z0042,682171,245786,7400.0299,25882.4456,31,0,1,0
B144224,144224,Z0042,682170,245805,8745.4899,30588.3448,36,0,1,0
B144225,144225,Z0042,682207,245822,7202.1682,25190.4016,30,0,1,0
B144226,144226,Z0042,682207,245805,8112.3323,28373.804,34,0,1,0
B144227,144227,Z0042,682207,245788,7162.5958,25051.9928,30,0,1,0
B144228,144228,Z0041,682024,246077,12460.8739,36906.0834,42,0,1,0
B144229,144229,Z0041,682010,246066,9974.3988,32437.6338,37,0,1,0
B144230,144230,Z0041,681997,246055,12483.2654,36906.0834,42,0,1,0
B144231,144231,Z0041,682037,246069,1319.0633,11915.8655,13,0,1,0
B144232,144232,Z0041,682041,246050,9202.9096,47497.9638,54,0,1,0
B144233,144233,Z1548,682038,245978,43519.3065,394773.571,420,0,1,0
B144234,144234,Z0565,682046,245905,16452.2893,97439.7635,104,0,1,0
B144235,144235,Z0566,681999,245972,169908.9016,132503.5614,143,0,1,0
B144236,144236,Z0566,682012,245916,10292.5447,55277.5594,60,0,1,0
B144237,144237,Z0566,682024,245868,259505.4874,211680.5362,229,0,1,0
B144238,144238,Z0565,682067,245909,20846.3537,77575.0665,83,0,1,0
B144239,144239,Z1555,682056,245863,5171.7717,33490.2701,34,0,1,0
B144240,144240,Z1555,682072,245867,8364.6013,35207.7199,36,0,1,0
B144241,144241,Z1557,682063,245831,5394.6981,31521.8998,34,0,1,0
B144242,144242,Z1557,682078,245835,10041.1519,32856.1602,35,0,1,0
B144243,144243,Z1556,682069,245799,5386.2353,29561.1216,31,0,1,0
B144244,144244,Z1556,682084,245803,8120.1577,33480.8284,35,0,1,0
B144245,144245,Z1330,682083,245767,20573.176,67540.08,73,0,1,0
B144246,144246,Z0042,682172,245767,8864.207,31003.5712,37,0,1,0
B144247,144247,Z1309,682174,245741,11353.6172,29052.285,31,0,1,0
B144248,144248,Z1309,682175,245726,9082.8938,29052.285,31,0,1,0
B144251,144251,Z1520,682211,245742,7281.8793,29914.2884,32,0,1,0
B144252,144252,Z1520,682211,245727,7514.2797,30705.6716,33,0,1,0
B144266,144266,Z1316,682130,245751,28688.045,100420.19,107,0,1,0
B144267,144267,Z1308,682139,245789,18478.541,60996.8,66,0,1,0
B144268,144268,Z1688,682125,245820,19826.3639,87518.5729,95,0,1,0
B144420,144420,Z0815,680769,247064,7504.5721,28801.6489,30,0,1,0
B144421,144421,Z0815,680752,247061,7055.9292,27079.8112,28,0,1,0
B144422,144422,Z0815,680734,247057,7219.0721,27705.934,29,0,1,0
B144423,144423,Z0814,680707,247051,4830.7859,23293.4949,25,0,1,0
B144424,144424,Z0814,680691,247048,4708.4875,22703.7862,24,0,1,0
B144425,144425,Z0814,680679,247046,3222.5623,13710.728,15,0,1,0
B144426,144426,Z0814,680667,247043,4677.9129,22556.359,24,0,1,0
B144427,144427,Z0814,680652,247040,4647.3383,22408.9318,24,0,1,0
B144428,144428,Z0794,680641,247004,5109.9864,26823.4051,28,0,1,0
B144429,144429,Z0794,680658,247008,5660.7634,29714.5506,31,0,1,0
B144430,144430,Z0817,680750,247025,6086.9423,30989.91,33,0,1,0
B144431,144431,Z0816,680721,247020,5940.1186,31344.3093,33,0,1,0
B144432,144432,Z0816,680703,247016,5909.4994,31182.7407,33,0,1,0
B144433,144433,Z0794,680676,247011,5140.5852,26984.0243,28,0,1,0
B144434,144434,Z0802,680680,246980,5873.6431,37138.2776,39,0,1,0
B144435,144435,Z0801,680656,246938,6418.1666,36593.667,39,0,1,0
B144436,144436,Z0801,680651,246955,6081.9769,34676.8559,37,0,1,0
B144437,144437,Z0801,680646,246973,6418.1666,36593.667,39,0,1,0
B144438,144438,Z0795,680771,246998,6085.8045,34616.4889,37,0,1,0
B144439,144439,Z0804,680749,246968,7215.174,40191.88,42,0,1,0
B144440,144440,Z0804,680742,246990,7215.174,40191.88,42,0,1,0
B144441,144441,Z0803,680720,246955,4773.4756,27438.0694,29,0,1,0
B144442,144442,Z0803,680716,246971,5691.4517,32714.6212,34,0,1,0
B144443,144443,Z0803,680711,246987,4773.4756,27438.0694,29,0,1,0
B144444,144444,Z0802,680690,246946,6923.9647,35838.4379,38,0,1,0
B144445,144445,Z0802,680685,246963,5017.0702,31381.8446,33,0,1,0
B144446,144446,Z0796,680807,246988,6086.7175,35940.975,38,0,1,0
B144447,144447,Z0796,680801,247006,6086.7175,35940.975,38,0,1,0
B144448,144448,Z0795,680777,246979,6116.3865,34790.4411,37,0,1,0
B144449,144449,Z0820,680864,246963,3528.9391,32601.59,34,0,1,0
B144450,144450,Z0790,680848,246983,7507.3309,30816.0636,32,0,1,0
B144451,144451,Z0790,680834,246996,6049.0431,31451.4464,33,0,1,0
B144452,144452,Z0817,680787,247034,6239.8806,31768.551,33,0,1,0
B144453,144453,Z0817,680768,247029,5934.0041,30211.269,32,0,1,0
B144454,144454,Z0808,680759,246937,6084.7935,31991.83,34,0,1,0
B144455,144455,Z0808,680765,246919,6084.7935,31991.83,34,0,1,0
B144456,144456,Z0807,680729,246927,6146.7469,34943.87,37,0,1,0
B144457,144457,Z0807,680736,246909,6116.1661,34770.02,37,0,1,0
B144458,144458,Z0806,680700,246916,5907.7796,33924.9234,36,0,1,0
B144459,144459,Z0806,680706,246899,5877.1694,33749.1466,36,0,1,0
B144460,144460,Z0805,680669,246906,6450.5212,35911.0345,38,0,1,0
B144461,144461,Z0805,680675,246888,6389.3788,35570.6455,37,0,1,0
B144462,144462,Z0820,680850,246951,3547.3189,32771.39,34,0,1,0
B144463,144463,Z0791,680863,246922,7184.0356,40275.9579,42,0,1,0
B144464,144464,Z0810,680819,246958,6085.6868,34162.7589,36,0,1,0
B144465,144465,Z0791,680844,246915,5838.9395,32734.9275,34,0,1,0
B144466,144466,Z0810,680825,246940,6116.2682,34334.4311,36,0,1,0
B144467,144467,Z0791,680827,246908,5869.5099,32906.3146,35,0,1,0
B144468,144468,Z0809,680789,246948,6084.7155,31563.295,33,0,1,0
B144469,144469,Z0809,680795,246930,6084.7155,31563.295,33,0,1,0
B144470,144470,Z0768,680723,246838,6122.0346,33938.8722,36,0,1,0
B144471,144471,Z0768,680705,246832,6091.4244,33769.1778,35,0,1,0
B144472,144472,Z0811,680690,246860,6084.7248,32210.797,34,0,1,0
B144473,144473,Z0811,680709,246867,7093.7495,37552.286,40,0,1,0
B144474,144474,Z0811,680729,246874,6084.7248,32210.797,34,0,1,0
B144478,144478,Z0821,680915,246898,4495.8032,21893.2934,23,0,1,0
B144479,144479,Z0821,680902,246895,4945.3835,21893.2934,23,0,1,0
B144480,144480,Z0821,680888,246891,5733.4234,22637.9632,24,0,1,0
B144481,144481,Z0792,680865,246884,5094.2274,21952.0855,23,0,1,0
B144482,144482,Z0792,680851,246880,4494.9065,21952.0855,23,0,1,0
B144483,144483,Z0792,680838,246876,4678.3721,22848.089,24,0,1,0
B144484,144484,Z0813,680812,246868,4084.5268,32496.9825,34,0,1,0
B144485,144485,Z0813,680794,246862,6096.1562,32334.4975,34,0,1,0
B144486,144486,Z0741,680767,246853,5908.004,31484.61,33,0,1,0
B144487,144487,Z0741,680750,246847,5908.004,31484.61,33,0,1,0
B144488,144488,Z0743,680963,246874,6298.0791,31050.3354,34,0,1,0
B144489,144489,Z0743,680944,246868,6359.2255,31351.795,35,0,1,0
B144490,144490,Z0742,680913,246860,6407.112,30334.97,32,0,1,0
B144491,144491,Z0744,680877,246849,6335.3096,33325.431,35,0,1,0
B144492,144492,Z0823,680952,246912,8274.4615,30046.6738,32,0,1,0
B144493,144493,Z0823,680939,246905,4493.8885,21757.9362,23,0,1,0
B144494,144494,Z0822,680924,246929,7934.0779,33214.8391,35,0,1,0
B144495,144495,Z0822,680908,246938,7779.2666,32566.7446,34,0,1,0
B144496,144496,Z0822,680891,246946,6324.8554,33538.8863,35,0,1,0
B144497,144497,Z0818,680895,247026,10218.8935,39373.3852,42,0,1,1
B144498,144498,Z0818,680896,247008,9083.4609,39373.3852,42,0,1,1
B144499,144499,Z0818,680897,246987,11771.8395,51026.4948,54,0,1,1
B144500,144500,Z0788,680843,247027,6459.8241,27540.4763,29,0,1,0
B144501,144501,Z0788,680831,247039,5649.5468,30508.9108,32,0,1,0
B144502,144502,Z0788,680818,247050,4763.9421,25726.4329,27,0,1,0
B144503,144503,Z0910,680978,247098,16023.678,42814.6167,45,0,1,0
B144504,144504,Z0789,680915,247092,7542.8648,24048.8696,25,0,1,0
B144505,144505,Z0789,680899,247090,10544.0176,28109.0684,30,0,1,0
B144506,144506,Z0789,680883,247086,8112.2531,24829.6771,26,0,1,0
B144507,144507,Z0789,680861,247073,25842.8832,73239.7394,78,0,1,0
B144508,144508,Z0789,680837,247074,11428.583,34980.174,37,0,1,0
B144509,144509,Z0789,680927,247095,5867.3529,17958.5715,19,0,1,0
B144510,144510,Z0819,680937,247051,42171.6218,83002.2283,88,0,1,1
B144511,144511,Z0669,681004,247035,12898.5637,50415.0426,53,0,1,0
B144512,144512,Z0669,681023,247044,10889.746,39161.6849,41,0,1,0
B144513,144513,Z1744,680988,247059,6323.434,25840.82,27,0,1,0
